Costcenter|รหัสบลจ.|ชื่อบลจ.|รหัสประเภทหน่วยลงทุน|ประเภทหน่วยลงทุน|ชื่อย่อหน่วยลงทุน|ชื่อหน่วยลงทุน|จำนวนเงิน|วันที่ซื้อ|รหัสพนักงาน
0034|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0512|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300|2018-03-29|6007437
2305|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0322|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
3010|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300|2018-03-29|6007437
0302|2|ยูโอบี|1|LTF|UOBLTF|กองทุนเปิด ยูโอบี หุ้นระยะยาว(UOBLTF)|50000|2018-03-29|5301309
0906|9|กสิกรไทย|1|LTF|KS50LTF|กองทุนเปิดเค เซ็ท 50 หุ้นระยะยาว(KS50LTF)|100000|2018-03-29|4602210
9602|1|ธนชาต|2|RMF|T-NMIXRMF|กองทุนเปิดธนชาตมิกซ์ ฟันด์เพื่อการเลี้ยงชีพ(T-NMIXRMF)|10000|2018-03-29|5301252
0204|9|กสิกรไทย|1|LTF|KMSLTF|กองทุนเปิดเค Mid Small Cap หุ้นระยะยาว(KMSLTF)|1000|2018-03-29|6007437
0165|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|400|2018-03-29|6007437
3207|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
2608|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|4800217
0204|9|กสิกรไทย|2|RMF|KJPRMF|กองทุนเปิดเค เจแปน หุ้นทุนเพื่อการเลี้ยงชีพ(KJPRMF)|1000|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
0031|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|600|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0031|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
2804|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
2801|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|600|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
5911|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300000|2018-03-29|3504934
6903|1|ธนชาต|3|ตราสารทุน|T-Lowbeta|กองทุนเปิดธนชาต Lowbeta(T-Lowbeta)|1000|2018-03-29|4602724
0318|8|ทหารไทย|4|ตราสารหนี้|TMBTHANAPLUS|กองทุนเปิดทหารไทยธนพลัส(TMBTHANAPLUS)|1000|2018-03-29|6002315
1002|3|เอ็มเอฟซี|3|ตราสารทุน|HI-DIV PLUS|กองทุนเปิดเอ็มเอฟซี ไฮ-ดิวิเดนด์ พลัส ฟันด์(HI-DIV PLUS)|500000|2018-03-29|3300098
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|500|2018-03-29|6007437
2604|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|400|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|500|2018-03-29|4800217
2306|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0210|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300|2018-03-29|6007437
5601|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
1202|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
5814|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300|2018-03-29|6007437
2604|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
5911|10|ไทยพาณิชย์|8|ตลาดเงิน|SCBTMFPLUS-I|กองทุนเปิดไทยพาณิชย์ตราสารรัฐตลาดเงินพลัส (SCBTMFPLUS-I)|300000|2018-03-29|3504934
6403|2|ยูโอบี|1|LTF|VALUE-D LTF|กองทุนเปิด แวลูพลัส ปันผล หุ้นระยะยาว(VALUE-D LTF)|30000|2018-03-29|3506353
0310|6|วรรณ|3|ตราสารทุน|1AMSET50-RA|กองทุนเปิดวรรณเอเอ็มเซ็ท 50 หน่วยลงทุนชนิดไม่จ่ายเงินปันผล สำหรับผู้ลงทุนทั่วไป (RA) (1AMSET50-RA)|2000|2018-03-29|5413588
4421|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|500000|2018-03-29|4203851
1707|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
6508|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|4800217
5101|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|900|2018-03-29|6007437
3705|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
5704|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|400|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
2905|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|400|2018-03-29|6007437
1204|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
3803|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
3401|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
2705|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|300|2018-03-29|4800217
0510|10|ไทยพาณิชย์|1|LTF|SCBLTT|กองทุนเปิดไทยพาณิชย์หุ้นระยะยาว ทาร์เก็ต(SCBLTT)|100000|2018-03-29|4204306
2517|5|กรุงศรี|3|ตราสารทุน|KFFIN-D|กองทุนเปิดกรุงศรีไฟแนนเชี่ยลโฟกัสปันผล(KFFIN-D)|5000|2018-03-29|5603169
0504|5|กรุงศรี|1|LTF|KFLTF50|กองทุนเปิดกรุงศรีหุ้นระยะยาว SET50(KFLTF50)|10000|2018-03-29|6000923
1002|3|เอ็มเอฟซี|3|ตราสารทุน|M-S50|กองทุนเปิดเอ็มเอฟซี เซ็ท 50(M-S50)|500000|2018-03-29|3300098
0049|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|400|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
1710|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
1504|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0204|9|กสิกรไทย|2|RMF|KJPRMF|กองทุนเปิดเค เจแปน หุ้นทุนเพื่อการเลี้ยงชีพ(KJPRMF)|1000|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|500|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0171|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
9602|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|600|2018-03-29|6007437
0031|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
3503|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0501|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
0221|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
2108|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|4800217
2703|6|วรรณ|1|LTF|1S-LTF|กองทุนเปิดวรรณเอเอ็มซีเล็คทีฟหุ้นระยะยาว(1S-LTF)|20000|2018-03-29|5609870
4415|8|ทหารไทย|8|ตลาดเงิน|TMBTM|กองทุนเปิดทหารไทยธนรัฐ(TMBTM)|150000|2018-03-29|5561812
2603|4|กรุงไทย|4|ตราสารหนี้|KTILF|กองทุนเปิดกรุงไทยอ้างอิงเงินเฟ้อ(KTILF)|60000|2018-03-29|5408546
0204|9|กสิกรไทย|1|LTF|KMSLTF|กองทุนเปิดเค Mid Small Cap หุ้นระยะยาว(KMSLTF)|1000|2018-03-29|6007437
2307|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
1608|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|500|2018-03-29|6007437
4306|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|100|2018-03-29|6007437
6012|1|ธนชาต|8|ตลาดเงิน|T-CASH|กองทุนเปิดธนชาตบริหารเงิน(T-CASH)|200|2018-03-29|6007437
0005|11|ซีไอเอ็มบี|2|RMF|CIMB-PRINCIPAL FIRMF|กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล ไลฟ์ ตราสารหนี้เพื่อการเลี้ยงชีพ(CIMB-PRINCIPAL FIRMF)|1000|2018-06-18|3300139
T|264
